aX,aY,aZ,gX,gY,gZ
1.028,0.177,-0.341,184.570,-17.517,-48.096
1.011,0.111,-0.351,207.214,-24.109,-46.936
0.969,-0.024,-0.362,214.600,-25.635,-44.556
0.960,-0.060,-0.371,221.741,-24.658,-38.696
0.993,-0.097,-0.376,223.450,-23.743,-35.828
0.995,-0.117,-0.371,225.037,-25.574,-29.175
0.956,-0.186,-0.346,223.633,-25.818,-25.452
0.940,-0.223,-0.331,214.294,-21.606,-19.348
0.929,-0.268,-0.314,206.543,-18.738,-16.602
0.931,-0.251,-0.313,188.049,-13.611,-11.780
0.968,-0.154,-0.315,179.810,-11.108,-10.986
1.014,-0.144,-0.312,168.579,-8.728,-12.390
1.018,-0.283,-0.283,162.598,-7.996,-13.062
0.988,-0.363,-0.264,139.709,-5.249,-7.935
0.964,-0.425,-0.238,123.169,-3.235,-3.357
0.964,-0.417,-0.232,105.103,0.427,0.061
0.976,-0.394,-0.231,68.176,8.972,0.061
1.012,-0.299,-0.237,51.025,10.193,-2.136
1.021,-0.235,-0.240,24.536,6.836,-5.493
1.021,-0.128,-0.241,16.418,4.822,-7.385
1.017,-0.098,-0.240,8.240,4.028,-10.986
1.022,-0.069,-0.239,6.592,4.456,-11.353
1.030,-0.065,-0.238,5.493,3.723,-9.460
1.023,-0.072,-0.234,5.005,2.991,-8.301
1.025,-0.070,-0.228,3.418,1.831,-6.104
1.035,-0.067,-0.216,3.113,0.854,-5.310
1.026,-0.080,-0.211,2.625,-0.549,-3.357
1.006,-0.113,-0.205,1.160,-0.183,-1.587
0.996,-0.097,-0.208,-4.150,1.099,1.587
1.008,-0.025,-0.213,-5.981,1.404,1.526
1.015,-0.013,-0.209,-6.287,1.038,0.122
0.999,-0.068,-0.199,-5.188,0.122,-2.869
0.995,-0.086,-0.197,-6.042,0.732,-2.930
1.003,-0.073,-0.200,-9.460,2.075,-0.793
1.029,-0.017,-0.209,-10.010,1.831,-0.488
1.030,-0.016,-0.207,-7.996,-0.671,-1.648
1.000,-0.050,-0.199,-6.958,-1.343,-1.587
0.996,-0.047,-0.198,-6.958,-0.061,0.427
1.019,-0.005,-0.202,-6.714,0.488,1.099
1.025,-0.005,-0.202,-4.211,-0.061,0.366
1.014,-0.042,-0.198,-3.296,-0.244,0.183
