aX,aY,aZ,gX,gY,gZ
0.988,-0.371,-0.262,-44.617,1.648,19.409
0.988,-0.345,-0.261,-66.956,2.930,25.940
0.990,-0.264,-0.264,-76.660,3.113,26.306
0.992,-0.266,-0.271,-93.689,2.869,26.428
1.001,-0.234,-0.281,-102.905,2.869,27.283
0.991,-0.185,-0.288,-118.896,2.991,26.306
0.977,-0.226,-0.322,-125.000,3.235,24.719
0.990,-0.327,-0.347,-143.066,2.563,25.879
1.025,-0.525,-0.407,-158.203,1.099,29.175
1.022,-0.554,-0.429,-199.829,-3.906,35.889
0.984,-0.393,-0.439,-221.558,-5.798,36.072
0.971,-0.276,-0.442,-239.258,-6.775,33.691
0.938,-0.301,-0.483,-258.972,-6.836,29.236
0.934,-0.421,-0.510,-267.029,-6.287,31.067
0.947,-0.478,-0.524,-294.617,-5.249,40.833
0.974,-0.232,-0.517,-309.387,-4.883,43.762
0.972,-0.049,-0.499,-319.397,-4.517,38.086
0.950,0.165,-0.430,-313.721,-4.517,32.593
0.950,0.205,-0.387,-290.833,-2.380,24.109
0.947,0.207,-0.320,-276.855,-0.244,21.423
0.958,0.220,-0.288,-246.765,4.028,19.714
1.000,0.324,-0.211,-229.370,5.554,19.653
1.002,0.377,-0.176,-187.012,8.118,16.357
0.978,0.418,-0.125,-161.987,9.766,13.550
0.978,0.393,-0.107,-135.620,11.292,11.108
1.010,0.253,-0.099,-84.717,13.489,9.033
1.021,0.173,-0.104,-63.293,14.038,10.132
1.022,0.113,-0.111,-31.494,15.137,15.442
1.008,0.048,-0.132,-20.386,16.113,17.090
1.014,0.011,-0.146,-5.066,17.761,16.052
1.051,-0.071,-0.177,-0.549,17.517,14.587
1.063,-0.101,-0.184,2.258,14.709,12.390
1.066,-0.119,-0.185,1.770,12.817,11.841
1.055,-0.123,-0.180,-0.366,8.972,10.437
1.046,-0.114,-0.171,-1.770,7.629,9.460
1.043,-0.102,-0.172,-3.601,6.165,7.812
1.037,-0.097,-0.174,-3.845,5.432,7.446
1.027,-0.091,-0.170,-3.906,4.395,7.202
1.016,-0.077,-0.164,-3.601,3.967,5.981
1.032,-0.042,-0.161,-2.625,4.395,5.127
1.038,-0.045,-0.164,0.854,3.296,3.235
1.029,-0.101,-0.167,2.258,2.136,2.808
1.028,-0.120,-0.163,2.014,0.732,4.700
1.016,-0.082,-0.151,1.160,0.854,5.432
1.024,-0.055,-0.150,1.770,1.892,3.845
1.055,-0.075,-0.163,3.174,1.343,2.197
1.053,-0.104,-0.166,3.662,-2.136,0.671
1.036,-0.101,-0.156,2.686,-3.418,0.854
1.022,-0.073,-0.149,1.953,-3.906,1.038
0.990,-0.065,-0.141,3.784,-3.235,0.061
0.995,-0.105,-0.142,5.432,-2.441,-0.732
1.008,-0.147,-0.143,5.188,-1.831,-0.610
1.005,-0.159,-0.133,3.174,-1.648,0.305
1.000,-0.130,-0.126,-0.061,0.366,1.343
1.000,-0.084,-0.127,-0.305,1.709,0.916
1.002,-0.088,-0.136,0.977,3.235,-0.366
1.023,-0.101,-0.147,1.404,3.418,0.061
1.027,-0.089,-0.147,1.770,3.418,1.282
1.016,-0.044,-0.145,2.441,3.601,0.916
1.008,-0.035,-0.146,5.737,3.845,-1.709
1.010,-0.082,-0.155,7.385,3.906,-2.869
1.018,-0.106,-0.157,8.301,3.601,-2.014
1.010,-0.094,-0.150,8.057,3.662,-0.977
1.010,-0.073,-0.147,8.118,4.150,-0.488
1.016,-0.056,-0.147,10.071,5.310,-1.831
1.025,-0.065,-0.161,11.475,5.432,-3.235
1.028,-0.086,-0.170,12.878,4.578,-5.066
1.026,-0.102,-0.173,12.512,4.089,-5.005
1.022,-0.091,-0.170,11.597,3.784,-4.822
1.016,-0.077,-0.169,11.780,3.845,-5.432
1.021,-0.094,-0.174,12.756,3.296,-6.226
1.043,-0.138,-0.179,12.512,2.258,-5.432
